method,price_detect,price_exact,type_detect,type_match,use_case_detect,use_case_match,ins_detect,ins_match,gender_detect,gender_match,constraint_exact_match,constraint_field_accuracy,avg_num_predicted_fields
baseline,0.6333333333333333,0.6333333333333333,1.0,1.0,0.7333333333333333,0.7333333333333333,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.13333333333333333,0.0,0.5333333333333333,3.433333333333333
flan,0.5333333333333333,0.5,0.9333333333333333,0.9333333333333333,0.7333333333333333,0.6666666666666666,0.2,0.13333333333333333,0.26666666666666666,0.2,0.0,0.48666666666666664,3.3
hybrid,0.6333333333333333,0.6333333333333333,1.0,1.0,0.8,0.7666666666666667,0.23333333333333334,0.16666666666666666,0.3333333333333333,0.13333333333333333,0.0,0.5399999999999999,3.6333333333333333
